abandon,アバンドン
limit,リミット
limitation,リミテーション
limited,リミテッド
line,ライン
link,リンク
lip,リップ
list,リスト
listen,リッスン
literally,リツアリー
literary,リテエリー
literature,リテエーチャー
little,リトル
live,ライブ
living,リビング
load,ロード
loan,ローン
local,ローカル
locate,ローケート
location,ローケーション
lock,ロック
long,ロング
long-term,ロングターム
look,ルック
loose,ルース
lose,ルーズ
loss,ロス
lost,ロスト
lot,ロット
lots,ロッツ
loud,ラウド
love,ラブ
lovely,ラブリー
lover,ラバー
low,ロー
lower,ロワー
luck,ラック
lucky,ラッキー
lunch,ランチ
lung,ラング
machine,マシーン
mad,マッド
magazine,マガジン
mail,メール
main,メイン
mainly,メインリー
maintain,メインテイン
maintenance,メインテナンス
major,メジャー
majority,マジョリティ
make,メーク
maker,メイカー
makeup,メイクアップ
male,メエル
mall,モール
man,マン
manage,マーネージ
management,マネジメント
manager,マネージャー
manner,マナー
manufacturer,マニュファクチャー
manufacturing,マニュファクチュアリング
many,メニー
map,マップ
margin,マージン
mark,マーク
market,マーケット
marketing,マーケティング
marriage,メリエージ
married,メリード
marry,メリー
mask,マスク
mass,マス
massive,マシッブ
master,マスター
match,マッチ
material,マテリアル
math,マス
matter,マター
may,メイ
maybe,メイビー
mayor,メイヤー
me,ミー
meal,ミール
mean,ミーン
meaning,ミーニング
meanwhile,ミーンワイル
measure,メジャー
measurement,メジャメント
meat,ミート
mechanism,メカニズム
media,ミディア
medical,メディカル
medication,メディケーション
medicine,メディセン
medium,メーディアム
meet,ミート
meeting,ミーティング
member,メンバー
membership,メンバーシップ
memory,メモリー
mental,メンタル
mention,メンション
menu,メニュー
mere,ミュアー
merely,ミュアリー
mess,メス
message,メッセージ
metal,メンタル
meter,ミータ
method,メソッド
mexican,メキシカン
middle,ミドル
might,マイト
military,ミリタリー
milk,ミルク
million,ミリオン
mind,マインド
mine,マイン
minister,ミニスター
minor,マイナー
minority,マイノリティー
minute,ミニュッツ
miracle,ミラクル
mirror,ミラー
miss,ミス
missile,ミッセル
mission,ミッション
mistake,ミステーク
mix,ミックス
mixture,ミクシュチャ
mode,モード
model,モデル
moderate,モデレート
modern,モーダン
modest,モデスト
mom,モム
moment,モーメント
money,マニー
monitor,モニター
month,マンス
montage,モンタージュ
mood,ムード
moon,ムーン
moral,モラル
more,モア
moreover,モアオーバー
morning,モーニング
mortgage,モォタージ
most,モースト
mostly,モーストリ
mother,マザー
motion,モーション
motivation,モチベーション
motor,モーター
mount,マウント
mountain,マウンテン
mouse,マウス
mouth,マウス
move,ムーブ
movement,ムーブメント
movie,ムービ
mr,ミスター
mrs,ミセズ
ms,ミス
much,マッチ
multiple,マルティプル
murder,マーダー
muscle,マッスル
museum,ミュージアム
music,ミュージック
musical,ミュージカル
musician,ミュージシャン
muslim,ムズリム
must,マスト
mutual,ミューチュアル
my,マイ
myself,マイセルフ
mystery,ミステリー
myth,ミス
naked,ネーケッド
name,ネーム
narrative,ネラティブ
narrow,ネロー
nation,ネーション
national,ナショナル
native,ネーティブ
natural,ナチュラル
naturally,ナチュアリー
nature,ネイチャー
near,ニア
nearby,ニアバイ
nearly,ニアリー
necessarily,ネセセアルィリー
necessary,ネセセアリー
neck,ネック
need,ニード
negative,ネガティブ
negotiate,ネゴシエィト
negotiation,ネゴシエィション
neighbor,ネイバー
neighborhood,ネイバーフッド
neither,ナイザー
nerve,ナーブ
nervous,ナーバス
net,ネット
network,ネットワーク
never,ネバー
nevertheless,ネバーザレス
new,ニュー
newly,ニューリー
news,ニュース
newspaper,ニュースペーパー
next,ネクスト
nice,ナイス
night,ナイト
nine,ナイン
no,ノー
nobody,ノーバディ
nod,ノッド
noise,ノイズ
nomination,ノミネーション
none,ナン
nonetheless,ナンザレス
nor,ノア
normal,ノーマル
normally,ノーマリー
north,ノース
northern,ノーザン
nose,ノーズ
not,ノット
note,ノート
nothing,ナシング
notice,ノーティス
notion,ノーション
novel,ノベル
now,ナウ
nowhere,ノーウェア
nuclear,ニュークリア
number,ナンバー
numerous,ニュームラス
nurse,ナース
nut,ナット
object,オブジェクト
objective,オブジェクティブ
obligation,オブリゲーション
observation,オブザベーション
observe,オブザーブ
observer,オブザーバー
obtain,オブテイン
obvious,オビオス
obviously,オビオスリー
occasion,オケージョン
occasionally,オケージョナリー
occupation,オキュペーション
occupy,オキュパイ
occur,オクァー
ocean,オーシャン
odd,オッド
odds,オッズ
of,オブ
off,オフ
offense,オフェンス
offensive,オフェンシブ
offer,オファー
office,オフィス
officer,オフィサー
official,オフィシャル
often,オフテン
oh,オー
oil,オイル
ok,オーケー
okay,オーケィ
old,オールド
olympic,オリンピック
on,オン
once,ワンス
one,ワン
ongoing,オンゴーイング
onion,オニオン
online,オンライン
only,オンリー
onto,オンツー
open,オープン
opening,オープニング
operate,オプレート
operating,オプレィティング
operation,オプレィション
operator,オプレィター
opinion,オペニエン
opponent,オポーネント
opportunity,オプテューニティ
oppose,オポーズ
opposite,オポサイト
opposition,オポジション
option,オプション
or,オア　　　
orange,オレンジ
order,オーダー
ordinary,オーディナリー
organic,オーガニック
organization,オーガニゼーション
organize,オーガナイズ
orientation,オリエンテーション
origin,オリジン
original,オリジナル
originally,オリジナリー
other,アダー
others,アダーズ
otherwise,アダワイズ
ought,オゥト
our,アワ
ourselves,アワセルブズ
out,アウト
outcome,アウトカム
outside,アウトサイド
oven,オブン
over,オウバー
overall,オーバーオール
overcome,オーバーカム
overlook,オーバールック
owe,オウー
own,オウン
owner,オーナー
pace,ペース
pack,パック
package,パッケージ
page,ページ
pain,ペイン
painful,ペインフル
paint,ペイント
painter,ペインター
painting,ペインティング
pair,ペア
pale,ペール
palestinian,パレスティンニアン
palm,ポーム
pan,パン
panel,パネル
pant,パント
paper,ペーパー
parent,ペアレンツ
park,パーク
parking,パーキング
part,パート
participant,パーティシパント
participate,パーティシペート
participation,パーティシーション
particular,パティキュラー
particularly,パティキュラリー
partly,パートリー
partner,パートナー
partnership,パートナーシップ
party,パーティ
pass,パス
passage,パセッジ
passenger,パッセンジャー
passion,パッション
past,パスト
patch,パッチ
path,パス
patient,ペイシェント
pattern,パターン
pause,ポーズ
pay,ペイ
payment,ペイメント
pc,ピーシー
peace,ピース
peak,ピーク
peer,ピーア
penalty,ペナルティ
people,ピーポル
pepper,ペッパー
per,パー
perceive,パシィーブ
percentage,パーセンテージ
perception,パセプション
perfect,パーフェクト
perfectly,パーフェクトリー
perform,パフォーム
performance,パフォーマンス
perhaps,パハップス
period,ピリオド
permanent,パーメナント
permission,パミッション
permit,パーミット
person,パーソン
personal,パーソナル
personality,パーソナリティ
personally,パーソナリー
personnel,パーソネル
perspective,パスペクティブ
persuade,パスゥエード
pet,ペット
phase,フェーズ
phenomenon,フェノミノン
philosophy,フィロソフィ　
phone,フォーン
photo,フォト
photograph,フォトグラフ
photographer,フォトグラファー
phrase,フレーズ
physical,フィジカル
physically,フィジカリー
physician,フィジシアン
piano,ピアノ
pick,ピック
picture,ピクチャー
pie,パイ
piece,ピース
pile,パイル
pilot,パイロット
pine,パイン
pink,ピンク
pipe,パイプ
pitch,ピッチ
place,プレース
plan,プラン
plane,プレーン
planet,プラネット
planning,プラニング
plant,プラント
plastic,プラスチック
plate,プレート
platform,プラットフォーム
play,プレイ
player,プレイヤー
please,プリーズ
pleasure,プレジャー
plenty,プレンティ
plot,プロット
plus,プラス
pm,ピーエム
pocket,ポケット
poem,ポエム
poet,ポエット
poetry,ポエツリー
point,ポイント
pole,ポール
police,ポリス
policy,ポレシー
political,ポリティカル
politically,ポリティカリー
politician,ポレティシアン
politics,ポリティクス
poll,ポール
pollution,ポリューション
pool,プール
poor,ポア
pop,ポップ
popular,ポピュラー
population,ポピュレーション
porch,ポーチ
port,ポート
portion,ポーション
portrait,ポートレット
portray,ポツレイ
pose,ポーズ
position,ポジション
positive,ポジティブ
possess,ポゼッス
possibility,ポシビリティ
possible,ポシブル
possibly,ぽシブリー
post,ポスト
pot,ポット
potato,ポテート
potential,ポテンシャル
potentially,ポテンシャリー
pound,パウンド
pour,ポア
poverty,パーボティ
powder,パウダー
power,パワー
powerful,パワフル
practical,プラクティカル
practice,プラクティス
pray,プレィ
prayer,プレィヤー
precise,プサイス
precisely,プサイスリー
predict,プリディクト
prefer,プレファー
preference,プレファレンス
pregnancy,プレグナンシー
pregnant,プレグナント
preparation,プレプァレーション
prepare,プリペア
prescription,プリスクリプション
presence,プレゼンス
present,プレゼント
presentation,プレゼンテーション
preserve,プレザーブ
president,プレジデント
presidential,プレジデンタル
press,プレス
pressure,プレッシャー
pretend,プリテンド
pretty,ぷれてぃ
prevent,プリベント
previous,プリビオス
previously,プリビオスリー
price,プライス
pride,プライド
priest,プリースト
primarily,プライメゥリー
primary,プライメリー
prime,プライム
principal,プリンシパル
principle,プリンシプル
print,プリント
prior,プライヤー
priority,プライオリティ
prison,プリゾン
prisoner,プリゾナー
privacy,プライバシー
private,プライベート
probably,プロバブリー
problem,プロブレム
procedure,プロシージャ
proceed,プロシード
process,プロセス
produce,プロヂュース
producer,プロヂューサー
product,プロダクト
production,プロダクション
profession,プロフェッション
professional,プロフェッショナル
professor,プロフェッサー
profile,プロファイル
profit,プロフィット
program,プログラム
progress,プログレス
project,プロジェクト
prominent,プロミネント
promise,プロマイズ
promote,プロモート
prompt,プロンプト
proof,プルーフ
proper,プロパー
properly,プロパリー
property,プロパティ
proportion,プロポーション
proposal,プロポーザル
propose,プロポーズ
proposed,プロポーズド
prosecutor,プロセキューター
prospect,プロスペクト
protect,プロテクト
protection,プロテクション
protein,プロテイン
protest,プロテスト
proud,プラウド
prove,プルーブ
provide,プロバイド
provider,プロバイダー
province,プロビンス
provision,プロビジョン
psychological,サイコロジカル
psychologist,サイコロジスト
psychology,サイコロジー
public,パブリック
publication,パブリケーション
publicly,パブリシティ
publish,パブリッシュ
publisher,パブリッシャー
pull,プル
punishment,パネシメント
purchase,パーチェース
pure,ピュア
purpose,パーポス
pursue,プースー
push,プッシュ
put,プット
qualify,クオリファイ
quality,クオリティ
quarter,クオーター
quarterback,クオーターバック
question,クエスチョン
quick,クイック
quickly,クイックリー
quiet,クワイエット
quietly,クワイエットリー
quit,クイット
quite,クワイト
quote,クオート
race,レース
racial,レイシャル
radical,ラディカル
radio,レイディオ
rail,レール
rain,レイン
raise,レイズ
range,レンジ
rank,ランク
rapid,ラピッド
rapidly,ラピッドリー
rare,レア
rarely,レアリー
rate,レート
rather,ラザー
rating,レーティング
ratio,レイシオ
raw,ロー
reach,リーチ
react,リアクト
reaction,リアクション
read,リード
reader,リーダー
reading,リーディング
ready,レディ
real,リアル
reality,リアリティ
realize,リアライズ
really,リアリー
reason,リーズン
reasonable,リーゾナブル
recall,リコール
receive,リシーブ
recent,リーセント
recently,リーセントリー
recipe,レシピ
recognition,レコグニション
recognize,レコグナイズ
recommend,レコメンド
recommendation,レコメンデーション
record,レコード
recording,レコーディング
recover,リカバー
recovery,リカバリー
recruit,リクルート
red,レッド
reduce,リデュース
reduction,リダクション
refer,リファー
reference,レファレンス
reflect,リフレクト
reflection,リフレクション
reform,リフォーム
refugee,レフュージ
refuse,リフューズ
regard,リガード
regarding,リガーディング
regardless,リガードレス
regime,レジーム
region,リージョン
regional,リージョナル
register,レジスター
regular,レギュラー
regularly,レギュラリー
regulate,レギュレート
regulation,レギュレーション
reinforce,リーエンフォース
reject,リジェクト
relate,リレート
relation,リレーション
relationship,リレーションシップ
relative,レラティブ
relatively,レラティブリー
relax,リラックス
release,リリース
relevant,レラベント
relief,リリーフ
religion,リレジョン
religious,リレジョス
rely,リライ
remain,リメイン
remaining,リメインイング
remarkable,リマークブル
remember,リメンバー
remind,リマインド
remote,リモート
remove,リムーブ
repeat,リピート
repeated,リピーテッド
repeatedly,リピーテッドリー
replace,リプレイス
reply,リプライ
report,リポート
reporter,リポーター
represent,レプリゼント
representation,レプリゼンテーション
representative,レプリゼンテイテブ
republican,リパブリカン
reputation,レピュテーション
request,リクエスト
require,リクワイア
requirement,リクワイアメント
research,リサーチ
researcher,リサーチャー
resemble,リゼンブル
reservation,レザベーション
resident,レジデント
resist,リゼスト
resistance,リゼスタンス
resolution,レゾリューション
resolve,リゾールブ
resort,リゾート
resource,リソース
respect,リスペクト
respond,リスポンド
respondent,リスポンデント
response,リスポンス
responsibility,リスポンシビリティ
responsible,リスポンシビル
rest,レスト
restaurant,レストラン
restore,レストア
restriction,リストリクション
result,リザルト
retain,リテイン
retire,リタイア
retirement,リタイアメント
return,リターン
reveal,リビール
revenue,レベニュー
review,リビュー
revolution,レボリューション
rhythm,リズム
rice,ライス
rich,リッチ
rid,リド
ride,ライド
rifle,ライフル
right,ライト
ring,リング
rise,ライズ
risk,リスク
river,リバー
road,ロード
rock,ロック
role,ロール
roll,ロール
romantic,ロマンチック
roof,ルーフ
room,ルーム
root,ルート
rope,ロープ
rose,ローズ
rough,ラフ
roughly,ラフリー
round,ラウンド
route,ラウト
routine,ルーティン
row,ロー
rub,ラブ
rule,ルール
run,ラン
running,ランニング
rural,ルーラル
rush,ラッシュ
russian,ラシアン
sacred,スケード
sad,サド
safe,セーフ
safety,セーフティ
sake,セーク
salad,サラド
salary,サラリー
sale,セール
sales,セールス
salt,ソルト
same,セーム
sample,サンプル
sanction,サンクション
sand,サンド
satellite,サテライト
satisfaction,サティスファクション
satisfy,サティスファイ
sauce,ソース
save,セーブ
saving,セービング
say,セイ
scale,スケール
scandal,スキャンダル
scared,スケード
scenario,シネリオ
scene,シーン
schedule,スケジュール
scheme,スキーム
scholar,スコーラー
scholarship,スコーラシップ
school,スクール
science,サイエンス
scientific,サイエンティフィック
scientist,サイエンティスト
scope,スコープ
score,スコア
scream,スクリーム
screen,スクリーン
script,スクリプト
sea,シー
search,サーチ
season,シーズン
seat,シート
second,セカンド
secret,シークレット
secretary,セクレタリー
section,セクション
sector,セクター
secure,セキュア
security,セキュリティー
see,シー
seed,シード
seek,シーク
seem,シーム
segment,セグメント
seize,シーズ
select,セレクト
selection,セレクション
self,セルフ
sell,セル
senate,セネート
senator,セネター
send,センド
senior,シニア
sense,センス
sensitive,センシティブ
sentence,センテンス
separate,セパレート
sequence,シークエンス
series,シリーズ
serious,シリアス
seriously,シリアスリー
serve,サーブ
service,サービス
session,セッション
set,セット
setting,セッティング
settle,セトル
settlement,セトルメント
seven,セブン
several,セブラル
severe,セビア
sex,セックス
sexual,セクシャル
shade,シェード
shadow,シャドウ
shake,シェーク
shall,シャル
shape,シェープ
share,シェア
sharp,シャープ
she,シー
sheet,シート
shelf,シェルフ
shell,シェル
shelter,シェルター
shift,シフト
shine,シャイン
ship,シップ
shirt,シャーツ
shit,シット
shock,ショック
shoe,シュー
shoot,シュート
shooting,シューティング
shop,ショップ
shopping,ショッピング
shore,ショア
short,ショート
shortly,ショートリー
shot,ショット
should,シュールド
shoulder,ショルダー
shout,シャウト
show,ショー
shower,シャワー
shrug,シュラッグ
shut,シャット
sick,シック
side,サイド
sigh,サイ
sight,サイト
sign,サイン
signal,シグナル
significance,シグニファンス
significant,シグニファント
significantly,シグニファントリー
silence,サイレンス
silent,サイレント
silver,シルバー
similar,シムラー
similarly,シムラリー
simple,シンプル
simply,シンプリー
sin,シン
since,シンス
sing,シング
singer,シンガー
single,シングル
sink,シンク
sir,サー
sister,シスター
sit,シット
site,サイト
situation,シチュエーション
six,シックス
size,サイズ
ski,スキー
skill,スキル
skin,スキン
sky,スカイ
slave,スレーブ
sleep,スリープ
slice,スライス
slide,スライド
slight,スライト
slightly,スライトリー
slip,スリップ
slow,スロー
slowly,スローリー
small,スモール
smart,スマート
smell,スメル
smile,スマイル
smoke,スモーク
smooth,スムーズ
snap,スナップ
snow,スノー
so,ソー
so-called,ソーコールド
soccer,サッカー
social,ソーシャル
society,ソサイエティ
soft,ソフト
software,ソフトウェア
soil,ソイル
solar,ソーラー
soldier,ソルジャー
solid,ソリッド
solution,ソリューション
solve,ソルブ
some,サム
somebody,サムバディ
somehow,サムハウ
someone,サムワン
something,サムシング
sometimes,サムタイムズ
somewhat,サムワット
somewhere,サムウェア
son,サン
song,ソング
soon,スーン
sophisticate,ソフィスティケート
sophisticated,ソフィスティケートエド
sorry,ソリー
sort,ソート
soul,ソール
sound,サウンド
soup,スープ
source,ソース
south,サウス
southern,サザン
soviet,ソビエト
space,スペース
spanish,スパニッシュ
speak,スピーク
speaker,スピーカー
special,スペシャル
specialist,スペシャリスト
species,スピーシーズ
specific,スペシフィック
specifically,スペシフィッカリー
speech,スピーチ
speed,スピード
spend,スペンド
spending,スペンディング
spin,スピン
spirit,スピリッツ
spiritual,スピリチュアル
split,スプリット
spokesman,スポークスマン
sport,スポーツ
spot,スポット
spread,スプレッド
spring,スプリング
square,スクエア
squeeze,スクィーズ
stability,ステバリティ
stable,ステーブル
staff,スタッフ
stage,ステージ
stair,ステェア
stake,ステーキ
stand,スタンド
standard,スタンダード
standing,スタンディング
star,スター
stare,ステア
start,スタート
state,ステート
statement,ステートメント
station,ステーション
statistic,スタティスティック
statistics,スタティスティックス
status,ステータス
stay,ステイ
steady,ステディ
steal,スティール
steel,スティール
step,ステップ
stick,スティック
still,スティル
stir,スツァー
stock,ストック
stomach,ストマック
stone,ストーン
stop,ストップ
storage,ストレージ
store,ストア
storm,ストーム
story,ストーリー
straight,ストレート
strange,ストレンジ
stranger,ストレンジャー
strategic,ストラジック
strategy,ストラテジー
stream,ストリーム
street,ストリート
strength,ストレング
strengths,ストレングス
strengthen,ストレングゼン
stress,ストレス
stretch,ストレッチ
strike,ストライク
string,ストリング
strip,ストリップ
stroke,ストローク
strong,ストロング
strongly,ストロングリー
structure,ストラクチャー
struggle,ストラグル
student,ステューデント
studio,ステューディオ
study,スタディ
stuff,スタッフ
stupid,スチューペッド
style,スタイル
subject,サブジェクト
submit,サブミット
subsequent,サブシークエント
substance,サブスタンス
substantial,サブスタンシャル
succeed,サクシード
success,サクセス
successful,サクセスフル
successfully,サクセスフリー
such,サッチ
sudden,サデン
suddenly,サデンリー
sue,スー
suffer,サッファー
sufficient,サフィシェント
sugar,シュガー
suggest,サジェスト
suggestion,サジェスチェン
suicide,スエサイド
suit,スーツ
summer,サマー
summit,サミット
sun,サン
super,スーパー
supply,サプライ
support,サポート
supporter,サポーター
suppose,サポーズ
supposed,サポーズド
supreme,スプリーム
sure,シュア
surely,シュアリー
surface,サーフェス
surgery,サージャリー
surprise,サプライズ
surprised,サプライズド
surprising,サプライジング
surprisingly,サプライジングリー
surround,サラウンド
survey,サーベー
survival,サバイバル
survive,サバイブ
survivor,サバイバー
suspect,サスペクト
sustain,サスティン
swear,スエア
sweep,スイープ
sweet,スイーツ
swim,スイム
swing,スイング
switch,スイッチ
symbol,シンボル
symptom,シンプトン
system,システム
table,テーブル
tablespoon,テーブルスプーン
tactic,タクティク
tail,テール
take,テイク
tale,テール
talent,タレント
talk,トーク
tall,トール
tank,タンク
tap,タップ
tape,テープ
target,ターゲット
task,タスク
taste,テースト
tax,タックス
taxpayer,タックスペイヤー
tea,ティー
teach,ティーチ
teacher,ティーチャー
teaching,ティーチング
team,チーム
tear,ティア
teaspoon,ティースプーン
technical,テクニカル
technique,テクニック
technology,テクノロジー
teen,ティーン
teenager,ティーンエージャー
telephone,テレフォン
telescope,テレスコープ
television,テレビジョン
tell,テル
temperature,テンペチャー
temporary,テンポラリー
ten,テン
tend,テンド
tendency,テンデンシー
tennis,テニス
tension,テンション
tent,テント
term,ターム
terms,タームズ
terrible,テリブル
territory,テレトリー
terror,テラー
terrorism,テロリズム
terrorist,テロリスト
testify,テスティファイ
testimony,テスティモ二ー
testing,テスティング
test,テスト
text,テキスト
texting,テキスティング
than,ザン
thank,サンク
thanks,サンクス
that,ザット
the,ザ
theater,シエター
their,デェア
them,ゼム
theme,ティーム
themselves,ゼムセルブズ
then,ゼン
theory,セオリー
therapy,セラピー
there,デェア
therefore,デアフォー
these,ディーズ
they,デイ
thick,ティック
thin,ティン
thing,ティング
think,ティンク
thinking,ティンキング
third,サード
thirty,サーディ
this,ディス
those,ドーズ
though,ドー
thought,ソッツ
thousand,サウザンド
threat,スレット
threaten,スレッテン
three,スリー
throat,スロート
through,スルー
throughout,スルーアウト
throw,スロー
thus,ザス
ticket,チケット
tie,タイ
tight,タイト
time,タイム
tiny,タイニー
tip,チップ
tire,タイヤ
tired,タイヤード
tissue,ティッシュ
title,タイトル
to,ツー
tobacco,タバーコ
today,トディー
toe,トー
together,トゲザー
tomato,トメート
tomorrow,トゥモロー
tone,トーン
tongue,タング
tonight,トゥナイト
too,ツー
tool,ツール
tooth,ツース
top,トップ
topic,トピック
toss,トス
total,トータル
totally,トータリー
touch,タッチ
tough,タフ
tour,ツアー
tourist,ツアリスト
tournament,トーナメント
toward,トワード
towards,トワーズ
tower,タワー
town,タウン
toy,トイ
trace,トレース
track,トラック
trade,トレード
tradition,トラディション
traditional,トラディショナル
traffic,トラフィック
tragedy,トラジェディ
trail,トレール
train,トレイン
training,トレーニング
transfer,トランスファー
transform,トランスフォーム
transformation,トランスフォメーション
transition,トランジション
translate,トランスレート
transportation,トランスポーテーション
travel,トラベル
treat,トリート
treatment,トリートメント
treaty,トリーティ
tree,ツリー
tremendous,トレメンダス
trend,トレンド
trial,トライアル
tribe,トライブ
trick,トリック
trip,トリップ
troop,トゥループ
trouble,トラブル
truck,トラック
true,トゥルー
truly,トゥルリー
trust,トラスト
truth,トゥルース
try,トライ
tube,ツーブ
tunnel,タナル
turn,ターン
tv,ティービー
twelve,トゥエルブ
twenty,トゥエンティ
twice,トワイス
twin,ツゥイン
two,ツゥー
type,タイプ
typical,ティピカル
typically,ティピカリー
ugly,アグリー
ultimate,ウルティメート
ultimately,ウルティメートリー
unable,アンエーブル
uncle,アンクル
under,アンダー
undergo,アンダゴー
understand,アンダースタンド
understanding,アンダースタンディング
unfortunately,アンフォーチュネイトリー
uniform,ユニフォーム
union,ユニオン
unique,ユニーク
unit,ユニット
united,ユナイテッド
universal,ユニバーサル
universe,ユニバース
university,ユニバーセティ
unknown,アンノーン
unless,アンレス
unlike,アンライク
unlikely,アンライクリー
until,アンティル
unusual,アンユージュアル
up,アップ
upon,アポン
upper,アッパー
urban,アーバン
urge,アージ
us,アス
use,ユーズ
used,ユーズド
useful,ユースフル
user,ユーザー
usual,ユージュアル
usually,ユージュアリー
utility,ユティリティ
vacation,ヴァケーション
valley,ヴァレー
valuable,ヴァリュアブル
value,ヴァリュー
variable,ヴァリアブル
variation,ヴァリエーション
variety,ヴァリエティ
various,ヴァリオス
vary,ヴァリー
vast,ヴァスト
vegetable,ヴェジタブル
vehicle,ヴィエクル
venture,ヴェンチャー
version,ヴァージョン
versus,ヴァーサス
very,ヴェリー
vessel,ヴェッセル
veteran,ヴェテラン
via,ヴェア
victim,ヴィクティム
victory,ヴィクトリー
video,ヴィデオ
view,ヴィウー
viewer,ヴィウァー
village,ヴィレッジ
violate,ヴァイオレート
violation,ヴァイオレーション
violence,ヴァイオレンス
violent,ヴァイオレント
virtually,ヴァーチュアリー
virtue,ヴァーチュー
virus,ヴァイラス
visible,ヴィジブル
vision,ヴィジョン
visit,ヴィジット
visitor,ヴィジター
visual,ヴィジュアル
vital,ヴァイタル
voice,ヴォイス
volume,ヴォリューム
volunteer,ボランティア
vote,ヴォート
voter,ヴォーター
vs,ヴィーエス
vulnerable,ヴァーナブル
wage,ウェージ
wait,ウエイト
wake,ウエイク
walk,ウォーク
wall,ウォール
wander,ワンダー
want,ワンツ
war,ワー
warm,ワーム
warn,ワーン
warning,ワーニング
wash,ウォッシュ
waste,ウェースト
watch,ウォッチ
water,ウォーダー
wave,ウェーブ
way,ウェイ
we,ウィー
weak,ウィーク
wealth,ウェルス
wealthy,ウェルシー
weapon,ウェポン
wear,ウェア
weather,ウェザー
wedding,ウェディング
week,ウィーク
weekend,ウィークエンド
weekly,ウィークリー　
weigh,ウエイ
weight,ウエイト
welcome,ウエルカム
welfare,ウエルフェア
well,ウェル
west,ウエスト
western,ウエスタン
wet,ウエット
what,ワット
whatever,ワットエバー
wheel,ウィール
when,ウェン
whenever,ウェンエバー
where,ウェア
whereas,ウェアアズ
whether,ウェザー
which,ウィッチ
while,ワイル
whisper,ウイスパー
white,ワイト
who,フー
whole,ホール
whom,フーム
whose,フーズ
why,ワイ
wide,ワイド
widely,ワイドリー
widespread,ワイドスプレッド
wife,ワイフ
wild,ワイルド
will,ウィル
willing,ウィリング
win,ウィン
wind,ウィンド
window,ウィンドウ
wine,ワイン
wing,ウィング
winner,ウィナー
winter,ウィンター
wipe,ワイプ
wire,ワイヤー
wisdom,ウィズダム
wise,ワイズ
wish,ウィッシュ
with,ウィス
withdraw,ウィスドロー
within,ウィスイン
without,ウィスアウト
witness,ウィトネス
woman,ウォマン
wonder,ワンダー
wonderful,ワンダフル
wood,ウッド
wooden,ウデン
word,ワード
work,ワーク
worker,ワーカー
working,ワーキング
works,ワークズ
workshop,ワークショップ
world,ワールド
worried,ヲリード
worry,ヲリー
worth,ワース
would,ウールド
wound,ウーンド
wrap,ラップ
write,ライト
writer,ライター
writing,ライティング
wrong,ロング
yard,ヤード
yeah,イェア
year,いヤー
yell,イェル
yellow,イェロー
yes,イエス
yesterday,イエスタディ
yet,イェット
yield,イールド
you,ユー
young,ヤング
your,ヨアー
yours,ヨーズ
yourself,ヨーセルフ
youth,ユース
zone,ゾーン
